address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0x25ac3070664f73ccc051d9408bd8e892951e0417,3000 ,0,0,0,3000 ,ENA
0x943d75c204e7ebd4fe413feba46b7097e34eb4ff,3000 ,0,0,0,3000 ,ENA
0xcc3ea2549c65456378f84abd3bf615bb995ec949,3000 ,0,0,0,3000 ,ENA
0x5310242214b751972a7bff72c1210b214be4754f,3000 ,0,0,0,3000 ,ENA
0xc0ce5b46511e2e573586083e53754feca7f9a8f8,3000 ,0,0,0,3000 ,ENA
0x7acb07d6a40913edf25d9140d63b54aa5bb613df,3000 ,0,0,0,3000 ,ENA
0x351636318e5b5ef2dabe47acd94cf8c2090039a1,3000 ,0,0,0,3000 ,ENA
0xaad9a1d684354e8610b23163901cec91f324ea86,3000 ,0,0,0,3000 ,ENA
0x1649cbfe6ca337d4203c19d583a581cef478aa57,3000 ,0,0,0,3000 ,ENA
0xcd98c47c478069d387acc660096d519f6cd6a09a,3000 ,0,0,0,3000 ,ENA
0x6a11289d847622cee1bf54e308a19fdd2e5cb835,3000 ,0,0,0,3000 ,ENA
0xdf6bbc8573b36da5e7f93bf3cca34af5642cdb4a,3000 ,0,0,0,3000 ,ENA
0xc6612f2e21acd9c1b86dd3e4cdd0a83001693de2,3000 ,0,0,0,3000 ,ENA
0xbe101c034bb2dcb55e24a93f86cf9de260660b21,3000 ,0,0,0,3000 ,ENA
0x8d953e2bc926b4359c3594efceaea260be5b350b,3000 ,0,0,0,3000 ,ENA
0x6cba2bdb6c6a268b2182bb7055dd7204806107fb,3000 ,0,0,0,3000 ,ENA
0xd374fb4541f44eacd6d0ce079535251363d46c2f,3000 ,0,0,0,3000 ,ENA
0xd49d1e7c3f5a3a9417ef7d5c80b2bcd5b0c78d8d,3000 ,0,0,0,3000 ,ENA
0xa483941250cbd42ff2f02dadf296858ea4a75d68,3000 ,0,0,0,3000 ,ENA
0xde6a0517e03dbe5a46cc3784987007a0a9e759e7,3000 ,0,0,0,3000 ,ENA
0x9a45bad81504453cf60c3c77da58b5b5829ede55,3000 ,0,0,0,3000 ,ENA
0x87686afc4f8cc1d6a2105a337533000f2eefdb10,3000 ,0,0,0,3000 ,ENA
0x83bdf69da347d759d5e3d95154eff0dc8efcc50b,3000 ,0,0,0,3000 ,ENA
0x1414918597fa795af61adc1cd46a3ccd17558c3c,3000 ,0,0,0,3000 ,ENA
0xb7b07db49b7a8e25259e2788c62b7426dabba726,3000 ,0,0,0,3000 ,ENA
0x4b05ef73bebe67efdcd45d68d2fa8af995f334da,3000 ,0,0,0,3000 ,ENA
0x53417008ff811644f88d9c5ac72827f0b66dde17,3000 ,0,0,0,3000 ,ENA
